time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-30 14:30:00+00:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-30 14:30:00+00:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,80.13500213623047,624.0,0.0
2020-02-03 13:30:00+00:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-03 13:30:00+00:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,76.07499694824219,624.0,0.0
2020-05-04 13:30:00+00:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-05-04 13:30:00+00:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,72.2925033569336,674.0,0.0
2020-06-10 13:30:00+00:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-10 13:30:00+00:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,86.9749984741211,674.0,0.0
2020-07-31 13:30:00+00:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-31 13:30:00+00:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,102.88500213623047,522.0,0.0
2020-08-21 13:30:00+00:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-08-21 13:30:00+00:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,123.46200256347656,522.0,0.0
2020-10-30 13:30:00+00:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-30 13:30:00+00:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,111.05999755859375,533.0,0.0
2020-12-22 14:30:00+00:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-22 14:30:00+00:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,133.2719970703125,533.0,0.0
2021-01-28 14:30:00+00:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 14:30:00+00:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,467.0,0.0
2021-01-29 14:30:00+00:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-29 14:30:00+00:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,132.54400405883788,467.0,0.0
2021-07-28 13:30:00+00:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-28 13:30:00+00:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,144.80999755859375,439.0,0.0
2021-07-29 13:30:00+00:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-29 13:30:00+00:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,144.69000244140625,219.0,0.0
2021-10-29 13:30:00+00:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-29 13:30:00+00:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,147.22000122070312,108.0,0.0
2021-12-08 14:30:00+00:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-12-08 14:30:00+00:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,173.62800292968748,219.0,0.0
2021-12-08 14:30:00+00:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-12-08 14:30:00+00:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,173.7719970703125,439.0,0.0
2021-12-09 14:30:00+00:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-12-09 14:30:00+00:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,176.66400146484375,108.0,0.0
2023-05-05 13:30:00+00:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-05 13:30:00+00:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,170.97999572753906,437.0,0.0
2023-11-03 13:30:00+00:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-03 13:30:00+00:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,174.24000549316406,215.0,0.0
